"Nums of iteration","Cost"
"0","80155.9128749126"
"100","79421.12108121326"
"200","78678.88587426807"
"300","79154.06836030596"
"400","80192.83011424897"
"500","79452.08817284441"
"600","78951.7824970823"
"700","79438.62981528937"
"800","79650.77957318668"
"900","79290.06952025341"
"1000","80176.70686608342"
"1100","78450.67860288908"
"1200","79239.34789832386"
"1300","78946.9903664871"
"1400","79221.65784120133"
"1500","79100.73346221588"
"1600","78341.65154915843"
"1700","79456.67385450084"
"1800","79815.86770404477"
"1900","78980.97291796014"
"2000","79283.75017788779"
"2100","78824.54822998519"
"2200","78656.88036796234"
"2300","80038.5141669432"
"2400","79022.22883003419"
"2500","81166.43458044637"
"2600","79642.26919779596"
"2700","80362.79508138957"
"2800","79441.53988873718"
"2900","78420.85900227557"
"3000","79462.30861810407"
"3100","79263.31044308831"
"3200","79643.50478621453"
"3300","78836.26384080607"
"3400","78213.34860594166"
"3500","80031.28612942928"
"3600","78978.84398360501"
"3700","80156.91295912392"
"3800","80458.97365041936"
"3900","80375.55613660772"
"4000","79769.72227638468"
"4100","78786.27333514487"
"4200","80627.92996360874"
"4300","78754.10565695413"
"4400","79575.82860424787"
"4500","79062.46527310823"
"4600","79713.79442310733"
"4700","79174.9006269532"
"4800","78060.54381004389"
"4900","78895.44001733296"
"5000","78645.21717950792"
"5100","78441.98476140456"
"5200","78435.58968397442"
"5300","79183.39241163034"
"5400","80642.35161300687"
"5500","78647.31409836706"
"5600","79800.18427812465"
"5700","80111.16889761371"
"5800","78741.69386630853"
"5900","79016.00367538312"
"6000","79373.0471124667"
"6100","79532.68697647813"
"6200","80598.04573674781"
"6300","79851.33432119794"
"6400","79290.93274009797"
"6500","80082.11823800851"
"6600","79070.55614474461"
"6700","79679.37651305391"
"6800","78279.34609599815"
"6900","80378.35526384201"
"7000","78558.94134362355"
"7100","80349.35695694841"
"7200","80146.2685237931"
"7300","79610.04615933738"
"7400","79037.00721337777"
"7500","78121.32178310494"
"7600","79580.11377476841"
"7700","79743.31032639722"
"7800","79350.68315332195"
"7900","81625.64775760891"
"8000","79583.58102902949"
"8100","79162.10780985726"
"8200","79098.11508591403"
"8300","78788.63133112574"
"8400","79512.52189919697"
"8500","79517.86655565312"
"8600","80617.6913751927"
"8700","78669.66281073928"
"8800","79009.89161821449"
"8900","79466.10586921178"
"9000","79019.61018978116"
"9100","78883.55087274371"
"9200","78745.87910366918"
"9300","80654.69421146756"
"9400","79714.54452832416"
"9500","79119.43905205856"
"9600","80043.06650107533"
"9700","79470.58401162054"
"9800","80117.70564168823"
"9900","79329.79610122196"
