"Nums of iteration","Cost"
"5","93.86720651387215"
"10","92.95097512564445"
"15","92.71676872493987"
"20","94.436795918591"
"25","92.8909627906977"
"30","92.80251131909921"
"35","93.75757739637865"
"40","93.16525936864454"
"45","95.71167778776831"
"50","93.79752663877274"
"55","93.82168676775078"
"60","91.7568875667248"
"65","94.37517804741046"
"70","97.97102576685484"
"75","92.60374773039895"
"80","94.77376255879419"
"85","92.22116212624589"
"90","93.33252084805662"
"95","93.16011384243143"
"100","91.71226127366614"
"105","96.89382113076539"
"110","94.23929028604203"
"115","92.84938158995821"
"120","94.38739526972643"
"125","94.54507051645575"
"130","94.42348715083807"
"135","90.0331991834216"
"140","96.26633968971964"
"145","93.33692700207001"
"150","91.87811325301217"
"155","96.24243355696822"
"160","96.05512319391637"
"165","94.14330729687671"
"170","94.0412022140222"
"175","92.20378697781163"
"180","94.73211660231665"
"185","92.44777954057523"
"190","91.35001101992975"
"195","93.22279253363932"
"200","92.46592352168203"
"205","95.79618988798688"
"210","93.80897186613733"
"215","91.69656429567651"
"220","95.06466651387441"
"225","92.00048565459876"
"230","93.73488836085934"
"235","93.23445116279075"
"240","94.41409296979427"
"245","93.78595969581758"
"250","97.14142790697682"
"255","92.70013774033777"
"260","94.94014482758624"
"265","92.09503392888787"
"270","93.79779923598514"
"275","93.56223542435436"
"280","97.06923371943375"
"285","94.30101338912138"
"290","90.81485937119335"
"295","95.64471446153219"
"300","91.26042801932374"
"305","92.18987572994806"
"310","95.47865622983146"
"315","93.5265506701586"
"320","91.82286378813424"
"325","92.2071856975382"
"330","95.01316122733624"
"335","91.48467664288076"
"340","95.93446597872205"
"345","89.5825376425856"
"350","95.2863548385337"
"355","92.64200309810673"
"360","91.3345685659367"
"365","92.3602251508434"
"370","93.23074149094154"
"375","89.89951583220576"
"380","97.155274818501"
"385","95.9461263788532"
"390","92.06724186046517"
"395","94.40025915324989"
"400","93.61174100713536"
"405","91.36177196559419"
"410","92.32052958259555"
"415","93.95051806844492"
"420","91.79779227799236"
"425","94.13555289575294"
"430","93.92482202643178"
"435","97.07721640207104"
"440","90.68461126249997"
"445","91.14531528046916"
"450","91.5657077169823"
"455","93.23909035347643"
"460","92.65747569766958"
"465","91.81218459501466"
"470","95.42668212927757"
"475","94.64831897184825"
"480","94.46774978308574"
"485","94.77972248062017"
"490","94.76594613729483"
"495","93.4073832263121"
"500","91.23582316602324"
"505","91.47704173651002"
"510","97.89173558286305"
"515","94.69980000000005"
"520","91.22205951095776"
"525","92.34667389672396"
"530","92.66026511627913"
"535","92.81014097878085"
"540","93.27078410703066"
"545","92.58828484848489"
"550","92.14761742092682"
"555","94.17317001375521"
"560","91.87538408907253"
"565","92.79171648313687"
"570","90.67159977832156"
"575","91.32193593656484"
"580","90.9397240740992"
"585","94.10024402373644"
"590","90.44638536585373"
"595","93.59845297544935"
"600","92.39069786551579"
"605","92.27274320137698"
"610","90.84408571428578"
"615","92.94632329749115"
"620","91.73774491328948"
"625","93.73877994768966"
"630","98.25161528271809"
"635","95.80189205020929"
"640","92.4702784287394"
"645","89.33780608828015"
"650","91.41791907983767"
"655","92.75231290877804"
"660","93.68941130742056"
"665","94.18815656949735"
"670","93.02251956698353"
"675","92.69884575042789"
"680","89.27470455212926"
"685","91.49615484192687"
"690","93.41526079779926"
"695","96.2603479452055"
"700","94.2668451263007"
"705","89.49874230769232"
"710","93.00144874551975"
"715","92.55324827586213"
"720","91.4234754108418"
"725","93.40296722037661"
"730","93.02748339768345"
"735","93.40786584726035"
"740","95.92134440154446"
"745","93.94811956156937"
"750","92.44261342168264"
"755","96.43054204946998"
"760","98.05829734930566"
"765","95.12086280987212"
"770","94.98028496423629"
"775","93.55830353892824"
"780","91.45009357738515"
"785","91.52569147286832"
"790","94.24783304501639"
"795","92.54791808118088"
"800","92.21134692304369"
"805","93.53654698795188"
"810","93.41513287500177"
"815","91.98480687757916"
"820","92.53278701298711"
"825","91.68965915492964"
"830","95.61529606234451"
"835","93.14527528517124"
"840","94.9586939413625"
"845","92.67144874551974"
"850","94.96466692015215"
"855","93.21679486559958"
"860","96.20741557134426"
"865","95.02240318907766"
"870","93.23198449085929"
"875","95.66162514902078"
"880","95.3074491782354"
"885","94.02087737585327"
"890","93.45819015597644"
"895","94.02601881854352"
"900","94.65778935896341"
"905","91.41924134078212"
"910","94.90701326836151"
"915","95.2900358923065"
"920","93.75970454344703"
"925","93.30450675783533"
"930","95.13221103409782"
"935","93.3104383269367"
"940","95.14815535976507"
"945","99.47687587248642"
"950","95.33152737248244"
"955","95.99199108298963"
"960","95.25617193862294"
"965","95.19018507935513"
"970","95.33746576519886"
"975","92.6759977155067"
"980","90.30665753713413"
"985","95.97796377839632"
"990","93.4558342717259"
"995","90.29462568617987"
"1000","92.69727550578952"
