"Nums of iteration","Cost"
"5","90.51625271822904"
"10","92.80191384986952"
"15","95.65393947136036"
"20","97.41610080386465"
"25","96.19000001627761"
"30","94.92405095605721"
"35","92.77870262624"
"40","93.61123247006933"
"45","98.33118971143489"
"50","95.84886589599054"
"55","93.38164395600657"
"60","91.4673217091431"
"65","98.65802372034173"
"70","96.79352045479257"
"75","95.03937275366624"
"80","93.33814143293051"
"85","97.22451242621554"
"90","98.20851872140247"
"95","96.11668446399494"
"100","96.70461972797756"
