"Nums of iteration","Cost"
"5","90.30333612167306"
"10","98.311192160497"
"15","88.745243607598"
"20","89.09020115542202"
"25","90.48098445975343"
"30","86.46301530298763"
"35","90.24073023255824"
"40","90.10402939068106"
"45","88.32184028176003"
"50","87.88337937310422"
"55","88.39126177846171"
"60","89.4083530622091"
"65","89.86072838196293"
"70","89.49998986518719"
"75","90.8686372093024"
"80","87.52094391143918"
"85","88.67661564245816"
"90","88.02728936934786"
"95","89.18522178542185"
"100","87.53271327700925"
"300","88.53587427055706"
