"Nums of iteration","Cost"
"5","94.62468871009561"
"10","93.89067280932545"
"15","91.33172953406807"
"20","97.70138759367987"
"25","94.03712910873551"
"30","96.09795274215384"
"35","94.03801517645113"
"40","93.41349297867353"
"45","94.93275967197162"
"50","96.10708813065884"
"55","93.17883378713123"
"60","95.58381616882005"
"65","94.21686822768375"
"70","94.10973308785995"
"75","94.57010309604074"
"80","93.68590166254467"
"85","97.77062413148583"
"90","98.04649596362074"
"95","93.31803080623409"
"100","95.59481206618105"
