"Nums of iteration","Cost"
"5","89.91171680549247"
"10","94.94478154981564"
"15","92.21036645472074"
"20","96.98957859778608"
"25","93.34235845942233"
"30","93.578164888124"
"35","89.92710627306275"
"40","90.6856620689656"
"45","95.03495151515156"
"50","92.82215376842551"
"55","90.10133008522196"
"60","91.21855968992249"
"65","93.9941410852714"
"70","94.76601262458477"
"75","92.72328837209307"
"80","93.46492544802877"
"85","95.32687401032706"
"90","90.89039700253255"
"95","93.80381185710363"
"100","94.97830994129296"
