"Nums of iteration","Cost"
"5","91.36510561347566"
"10","90.23461028151782"
"15","90.780002976996"
"20","91.235865645588"
"25","90.78987154044142"
"30","90.93015335689043"
"35","90.98630176678448"
"40","90.80843691194217"
"45","91.03109411740611"
"50","90.85998938021447"
"55","90.22754923490685"
"60","92.2555210524708"
"65","89.70091371629545"
"70","89.75608975265028"
"75","91.20711010543515"
"80","91.76177638786362"
"85","89.89971245682736"
"90","91.04095711854804"
"95","90.00582849154577"
"100","91.5473122892572"
