"Nums of iteration","Cost"
"5","96.69905644047768"
"10","96.69905644047768"
"15","96.69905644047768"
"20","96.69905644047768"
"25","96.69905644047768"
"30","96.69905644047768"
"35","96.69905644047768"
"40","96.69905644047768"
"45","96.69905644047768"
"50","96.69905644047768"
"55","96.69905644047768"
"60","96.69905644047768"
"65","96.69905644047768"
"70","96.69905644047768"
"75","96.69905644047768"
"80","96.69905644047768"
"85","96.69905644047768"
"90","96.69905644047768"
"95","96.69905644047768"
"100","96.69905644047768"
