"Nums of iteration","Cost"
"5","92.55496516701393"
"10","90.50414981423339"
"15","89.29116409127865"
"20","91.36152761882917"
"25","91.91954920410919"
"30","90.22071161102397"
"35","90.40495382465411"
"40","88.71156133084627"
"45","91.20833453183273"
"50","91.11021681112098"
"55","90.47738870263416"
"60","91.90888627260519"
"65","89.13259573224727"
"70","91.83834148198096"
"75","88.6201707697951"
"80","90.600945006325"
"85","90.75000600829902"
"90","90.04319127448028"
"95","91.22111680858644"
"100","89.3675312667711"
