"Nums of iteration","Cost"
"5","91.93459337023063"
"10","90.50048040680416"
"15","92.94377458021759"
"20","92.88516653174705"
"25","93.7799850903255"
"30","92.14456014760152"
"35","90.31410148662718"
"40","96.08144383561657"
"45","93.05490460626743"
"50","92.43352693726945"
"55","90.82038450510072"
"60","92.3776176247973"
"65","93.317480353528"
"70","93.65292741312749"
"75","93.59891196911204"
"80","93.13374218134042"
"85","90.79611698575056"
"90","94.03684797047977"
"95","90.52884991948478"
"100","94.29331835454397"
