"Nums of iteration","Cost"
"5","89.74186207119112"
"10","92.35738439609901"
"15","89.38553268921095"
"20","87.42014482758631"
"25","89.02393793103457"
"30","94.59694285714292"
"35","89.12171780821922"
"40","89.90910264993036"
"45","89.4388104030073"
"50","89.5407669522644"
"55","90.64498381973428"
"60","88.23176286472155"
"65","87.40855331564993"
"70","90.43983197267201"
"75","89.39903076923082"
"80","89.55786451612909"
"85","87.02761946072694"
"90","91.02049735006979"
"95","89.20265714285719"
"100","89.59064416541406"
