"Nums of iteration","Cost"
"5","92.48024582240305"
"10","93.58034263565901"
"15","92.66000715496733"
"20","91.75969389920428"
"25","91.50669655172422"
"30","92.92621555176446"
"35","90.19639942837172"
"40","91.7308669238767"
"45","93.21941977186313"
"50","91.46216162361624"
"55","92.77265714285718"
"60","89.77530060313643"
"65","92.52100411160063"
"70","91.51105088612493"
"75","91.17589724047315"
"80","92.65518101916791"
"85","91.1781397683398"
"90","93.18893978494631"
"95","90.38367263339074"
"100","90.67255362318846"
"105","91.02753419140453"
"110","91.47442642365874"
"115","90.96591846353074"
"120","90.7353813953489"
"125","91.83130221086054"
"130","93.17014482758621"
"135","90.01477922691842"
"140","92.03467804878055"
"145","92.07589294320144"
"150","89.10264916201119"
